InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice
20001,1,2025-12-15,9,138.64
20002,11,2024-06-24,4,85.07
20003,4,2025-12-10,3,42.16
20004,5,2025-08-04,3,30.15
20005,20,2024-06-07,4,19.78
20006,12,2023-12-12,1,22.99
20007,1,2025-08-01,7,280.45
20008,9,2023-03-29,1,31.91
20009,9,2023-06-13,1,33.74
20010,9,2023-07-16,1,18.94
20011,17,2025-10-12,6,85.39
20012,18,2024-08-06,5,103.59
20013,10,2023-01-22,1,30.4
20014,15,2025-02-06,2,56.89
20015,4,2025-12-22,7,71.11
20016,11,2025-11-17,2,92.07
20017,11,2024-09-07,3,149.66
20018,10,2023-05-07,1,27.36
20019,14,2024-01-17,5,77.73
20020,3,2025-06-05,10,163.29
20021,1,2025-02-20,10,122.5
20022,15,2023-07-20,4,98.8
20023,1,2024-11-23,8,235.55
20024,4,2024-07-29,8,78.22
20025,10,2023-03-24,2,6.02
20026,7,2025-04-22,2,97.57
20027,4,2024-10-29,7,87.25
20028,17,2025-06-14,1,110.48
20029,3,2025-12-08,6,243.71
20030,11,2024-05-28,5,64.21
20031,3,2025-04-29,7,250.75
20032,6,2024-11-01,6,40.76
20033,17,2023-12-06,4,18.69
20034,8,2023-07-09,2,20.74
20035,18,2025-09-19,3,70.06
20036,3,2025-07-02,8,271.71
20037,9,2023-07-05,3,8.67
20038,6,2025-10-15,2,54.46
20039,6,2025-10-09,4,65.84
20040,1,2024-10-20,6,246.79
20041,3,2025-03-23,6,98.72
20042,3,2025-11-30,5,284.46
20043,13,2024-08-30,4,78.92
20044,15,2025-03-02,6,126.59
20045,16,2025-11-26,4,138.03
20046,8,2023-08-18,3,27.22
20047,20,2024-07-05,5,145.85
20048,12,2025-12-18,6,17.34
20049,10,2023-02-25,2,16.04
20050,16,2024-01-21,2,124.87
20051,4,2025-10-09,8,67.33
20052,5,2025-05-27,8,80.31
20053,2,2025-06-26,4,279.81
20054,16,2023-09-10,1,142.19
20055,9,2023-07-15,1,21.29
20056,16,2024-04-17,2,100.56
20057,20,2025-06-26,5,58.17
20058,10,2023-01-13,2,16.8
20059,1,2025-10-22,9,225.25
20060,3,2025-07-16,3,183.47
20061,2,2024-10-28,6,211.49
20062,10,2023-08-19,2,29.7
20063,16,2025-06-23,6,64.11
20064,15,2024-09-18,3,33.52
20065,4,2024-10-30,6,31.17
20066,2,2025-07-10,5,248.05
20067,15,2024-11-09,4,131.19
20068,4,2025-11-24,2,69.84
20069,8,2023-01-18,3,37.93
20070,17,2024-10-21,4,121.69
20071,3,2025-05-23,9,247.57
20072,8,2023-08-26,2,9.71
20073,5,2024-12-14,2,52.0
20074,1,2025-03-25,3,170.69
20075,8,2023-08-14,1,30.58
20076,15,2024-05-04,2,52.59
20077,16,2025-08-24,2,82.17
20078,5,2024-12-28,5,50.24
20079,9,2023-04-10,2,24.62
20080,2,2025-06-12,3,143.09
20081,12,2025-12-18,2,27.08
20082,4,2025-03-06,5,76.88
20083,7,2024-08-20,2,39.52
20084,9,2023-06-21,3,7.9
20085,7,2025-09-13,3,67.69
20086,1,2024-11-25,5,253.54
20087,4,2025-07-29,3,49.72
20088,17,2023-11-14,1,17.89
20089,8,2023-04-02,1,28.39
20090,5,2025-07-30,8,51.52
20091,5,2025-03-09,2,90.77
20092,7,2024-07-16,4,100.82
20093,1,2025-03-08,4,283.45
20094,4,2025-11-22,8,109.64
20095,7,2024-09-25,6,63.1
20096,11,2024-06-04,5,50.51
20097,11,2023-07-22,3,80.89
20098,12,2025-04-04,4,110.75
20099,4,2025-11-12,7,83.67
20100,3,2025-10-16,4,122.17
