InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice
50000,47,2024-10-19,6,56.75
50001,2,2025-02-28,12,279.98
50002,31,2023-03-01,1,8.75
50003,31,2023-06-16,3,12.95
50004,72,2025-02-08,2,86.37
50005,46,2025-06-15,2,128.68
50006,17,2025-06-08,6,37.78
50007,6,2025-01-14,11,151.42
50008,80,2025-09-02,1,175.43
50009,5,2025-12-06,12,247.0
50010,42,2023-02-28,1,6.83
50011,51,2025-09-05,2,157.3
50012,22,2024-12-15,3,71.27
50013,90,2024-07-04,6,120.17
50014,34,2023-03-11,1,23.49
50015,86,2025-05-14,6,104.68
50016,95,2023-09-23,1,48.94
50017,71,2025-04-24,3,21.25
50018,26,2026-03-04,7,135.59
50019,19,2025-12-10,3,55.83
50020,42,2023-05-30,3,22.14
50021,18,2024-08-16,3,88.69
50022,53,2025-11-30,2,116.67
50023,37,2023-04-30,2,28.84
50024,39,2023-01-30,1,32.21
50025,80,2025-06-15,3,140.66
50026,7,2025-08-27,4,202.51
50027,94,2024-02-22,2,96.31
50028,65,2024-08-30,6,96.3
50029,3,2026-05-28,10,337.44
50030,84,2024-03-05,3,93.06
50031,99,2024-11-24,3,50.71
50032,51,2023-12-08,1,134.42
50033,80,2026-03-19,2,31.83
50034,56,2025-12-02,3,99.7
50035,80,2025-04-18,6,127.28
50036,22,2025-08-20,8,137.45
50037,4,2025-07-24,3,171.28
50038,31,2023-01-16,1,33.31
50039,12,2025-01-13,6,33.86
50040,26,2026-05-25,4,92.4
50041,82,2026-03-14,5,90.35
50042,58,2025-12-18,1,26.48
50043,24,2024-07-09,8,132.98
50044,87,2025-06-13,1,20.3
50045,52,2026-01-23,2,42.57
50046,3,2025-02-16,6,204.91
50047,28,2025-11-19,2,31.32
50048,51,2026-04-09,2,38.27
50049,44,2023-02-12,2,41.1
50050,23,2025-08-23,5,140.81
50051,28,2025-03-14,8,44.35
50052,12,2024-07-12,1,118.5
50053,8,2026-05-28,10,328.23
50054,9,2025-02-09,3,309.86
50055,41,2023-08-30,1,21.15
50056,61,2024-01-03,5,111.07
50057,29,2024-12-10,6,141.84
50058,66,2024-04-13,2,55.15
